Date,Growth,Inflation surprises,Financial Stress
2018-06-29,0.004958311227167902,0.0014102508211223652,-0.009177491312468589
2018-05-31,0.005881172606794868,0.0028827399425264675,-0.009177491312468589
2018-04-30,0.006707399286984408,0.006303047001761161,-0.009051128168684738
2018-03-30,0.007419597021837901,0.004360196759437238,-0.00892476502490089
2018-02-28,0.007875712803182357,0.005094624988564188,-0.009177491312468589
2018-01-31,0.008047722568180832,0.006200730809532229,-0.009430217600036287
2017-12-29,0.008052554303152725,0.00598101771622369,-0.00927808911500425
2017-11-30,0.007887308967114816,0.003795747371026168,-0.009973170590138277
2017-10-31,0.007521063456247083,0.0005187872624093523,-0.0103391963635684
2017-09-29,0.006982808180380875,0.000803487209739314,-0.009995088601820684
2017-08-31,0.006342120123111079,-0.000628062829317489,-0.010515930488971485
2017-07-31,0.005656980104100126,0.0002924219263289131,-0.010436976388060864
2017-06-30,0.005023056475790897,0.003998809803270851,-0.009618754465191575
2017-05-31,0.0044384165441948556,0.00630602647311464,-0.009025651899879134
2017-04-28,0.003914656473244186,0.005727447514784962,-0.009348575379633446
2017-03-31,0.003423752200102355,0.007666584877422243,-0.009898933854890398
2017-02-28,0.0028787324952755803,0.008196085066857027,-0.010152233808708623
2017-01-31,0.002202289599213867,0.007533435167511645,-0.010859834066638244
2016-12-30,0.001335476345260655,0.0070158786473774855,-0.011218204434690479
2016-11-30,0.00027974225390727843,0.008549558088728369,-0.008287673569974289
2016-10-31,-0.0008175447582041767,0.009769649316076287,-0.006727781551052048
2016-09-30,-0.0018042816741592,0.009601188286824896,-0.006139628756512252
2016-08-31,-0.0026054799671944794,0.009909309170894233,-0.0067060672758336845
2016-07-29,-0.0031578439091786282,0.007500181402330536,-0.006407456016965916
2016-06-30,-0.003495775453111012,0.006560040157404827,-0.004450048477635883
2016-05-31,-0.0036619871361433256,0.005370675874340163,-0.006912690932351692
2016-04-29,-0.0036635332913344024,0.005629869254983319,-0.006837004144527025
2016-03-31,-0.0034889143894509776,0.005335553636835268,-0.004354111341665413
2016-02-29,-0.00310566117148236,0.0030537381062303963,-0.003116349801852363
2016-01-29,-0.0025312645180266364,0.0025335745486619434,-0.0016433186038084004
2015-12-31,-0.0019159913867088363,0.002587119086735492,-0.0032564621182203644
2015-11-30,-0.0013135706704161673,0.002297214232141108,-0.003710691478828443
2015-10-30,-0.0007447788295278054,0.003189000375925662,-0.0036500978139432367
2015-09-30,-0.00016390765120978242,0.0023618372468722504,-0.004872343232955847
2015-08-31,0.0005440381568684905,0.003274067147943742,-0.005129572672974142
2015-07-31,0.0013393417332381412,0.004915909421079496,-0.006271393836735838
2015-06-30,0.0020708664079790657,-8.288489081081562e-05,-0.006525158767830277
2015-05-29,0.002663237115530216,-0.0031914710624158064,-0.006663728869823019
2015-04-30,0.0031464106127170755,-0.005323938299526587,-0.006110983133491801
2015-03-31,0.0034971945716747274,-0.006148437093619678,-0.005781833580812423
2015-02-27,0.0037175216863919837,-0.005618535821502696,-0.004788570797904776
2015-01-30,0.0038218871617843827,-0.006471870168544846,-0.0004133080133428661
2014-12-31,0.0038499112246211916,-0.00693631302800119,-0.0004172258625062472
2014-11-28,0.0038711708584974335,-0.007190874476640208,-0.00050800770559831
2014-10-31,0.003877935287458,-0.007614067701158182,-0.0019435054359096503
2014-09-30,0.003881800675435486,-0.004253001127059524,-0.0018921178161431047
2014-08-29,0.003914656473244186,-0.0036715853682161813,-0.0024837338140936455
2014-07-31,0.004042214276501502,-0.005165741549087928,-0.007926370800437978
2014-06-30,0.004212291347511302,-0.0019982873262660915,-0.009321623569061813
2014-05-30,0.004404594399391749,0.001316300067693582,-0.009942686861502372
2014-04-30,0.004568873388435251,0.003688297320465089,-0.010683985456233527
2014-03-31,0.004637484025035733,0.0026473273270861447,-0.011902087800035238
2014-02-28,0.0046152580441652215,0.001823686849932959,-0.0124113524796878
2014-01-31,0.004576604164390223,0.0011725463046409045,-0.011087000777797472
2013-12-31,0.004480935811947202,0.0026562256328783577,-0.010725956327940272
2013-11-29,0.004199728836584438,0.0045857427408954685,-0.010631779387442789
2013-10-31,0.003686598582571958,0.005571884731617829,-0.009729122470668155
2013-09-30,0.003004357604544084,0.00117594404793439,-0.00854905283406185
2013-08-30,0.002184895353315111,-0.0009779444422573732,-0.008357925567561408
2013-07-31,0.0012678320556544426,0.0007153349659446052,-0.009283709998941334
2013-06-28,0.00031385430280865155,-8.734607618738617e-05,-0.007007571498887184
2013-05-31,-0.0006711431885564963,-0.0014823804019062877,-0.005814690806256908
2013-04-30,-0.0016591363556043297,-0.004200105196980617,-0.004643113218089768
2013-03-29,-0.0026135972819473236,-0.0029903309621693735,-0.004897613182154605
2013-02-28,-0.0036479751047249903,-0.0009053026387585543,-0.004160239382705686
2013-01-31,-0.004730670277221302,0.0016411598510168571,-0.003857111918796931
2012-12-31,-0.005713638439898307,6.626859109477876e-05,-0.0060943812803821214
2012-11-30,-0.006492417482664139,-0.002085975460099968,-0.007005670528602494
2012-10-31,-0.006951722209089943,-0.005669093439544386,-0.007420511142744103
2012-09-28,-0.007052995374100326,-0.0049813741536357935,-0.0068113569906812985
2012-08-31,-0.0068080264110266814,-0.00441617416763375,-0.0072664674833060345
2012-07-31,-0.006199227804571181,-0.004950530895374701,-0.0067715001482997715
2012-06-29,-0.005329902048432486,-0.004517986141633634,-0.005482170886567086
2012-05-31,-0.004387230555420887,-0.005414778370267289,-0.003324695556111528
2012-04-30,-0.003604392855278632,-0.0036991242781512145,-0.004909116672728429
