Date,Growth,Inflation surprises,Financial Stress
2018-06-29,0.004076958479375239,0.005413091559441987,-0.0008292798249359751
2018-05-31,0.005243542480222146,0.005801139819508288,-0.002403917347372247
2018-04-30,0.005000635694330193,0.0055546111351041415,-0.002189934939025544
2018-03-30,0.0036194270810106432,0.004034939958150495,-0.0015412613310593186
2018-02-28,0.004895866729948281,0.004441104044656544,-0.0030812620552012338
2018-01-31,0.007076517327485325,0.006051991524797923,-0.005165663995676959
2017-12-29,0.007167741835536634,0.005812614785568337,-0.005832712705013679
2017-11-30,0.005889429915576798,0.0046117276966587085,-0.004835029972574066
2017-10-31,0.008574630871869318,0.006424017350045805,-0.007284259064810119
2017-09-29,0.007303722245132835,0.005213820242891524,-0.006406121086309332
2017-08-31,0.0078047212175158635,0.006000196271685369,-0.006550560356319986
2017-07-31,0.0067216292691729355,0.005167037595611794,-0.005448588074116592
2017-06-30,0.00660919716444081,0.003924458397618103,-0.006502444040198563
2017-05-31,0.005810033548236446,0.0039760605638577175,-0.0053775359083918445
2017-04-28,0.005176851202554667,0.003416134480540441,-0.00487491783587234
2017-03-31,0.006905690686902439,0.0060642340944245705,-0.004993376092388619
2017-02-28,0.008647897067978328,0.007845603894656192,-0.006088717789440801
2017-01-31,0.007495683662228678,0.007787855995930626,-0.004278336318051251
2016-12-30,0.0038653785696791463,0.004892040232440796,-0.0015335368957695979
2016-11-30,0.0036671179903636267,0.0040331153949915675,-0.002066661359623233
2016-10-31,0.00024664797561045886,0.0004614377903232901,-0.00030228550310263454
2016-09-30,0.001511381498400236,0.0013085000364760012,-0.0014985834388442853
2016-08-31,-0.0003867886796532271,-0.0009200469573390771,-0.0007542394132636142
2016-07-29,-0.0022566175918181724,-0.0015455738419548493,0.0016114576406097325
2016-06-30,-0.003322092632819296,-0.003200471480642855,0.0016681435038505205
2016-05-31,-0.0038156383415603587,-0.0037261820290317945,0.0023380665565906787
2016-04-29,-0.004331397605567361,-0.003850926969530813,0.0030681345596108196
2016-03-31,-0.0038843357467447954,-0.0036597591805165343,0.0025828964940447377
2016-02-29,-0.005406670497794525,-0.0053081123466747334,0.003324417221864692
2016-01-29,-0.0031866102046146233,-0.004421747217516197,0.0008280924308534105
2015-12-31,-0.002930034811320993,-0.004350618997879995,0.0005514243440138511
2015-11-30,-0.003597715589780385,-0.005311843786957363,0.0005687205806032952
2015-10-30,-0.003287754332011775,-0.005096879445811372,0.00019850456903701142
2015-09-30,-0.004348504089062686,-0.006255459546355132,0.0005752452276794447
2015-08-31,-0.00401741669093909,-0.006248780515728537,0.00016572850175768536
2015-07-31,-0.001798452330723023,-0.005720123435219472,-0.0030632948677794566
2015-06-30,-0.0015152571556922888,-0.004720881836497221,-0.002512640485861798
2015-05-29,-0.0002221945574507239,-0.0035887280255194947,-0.0035883573809668487
2015-04-30,0.001274932021204394,-0.0027950791246017914,-0.005396313148668015
2015-03-31,0.0001107314380434689,-0.004343579629142723,-0.005201071078606669
2015-02-27,0.00041085597910756966,-0.003936664673176657,-0.005189784320189093
2015-01-30,-0.0006278372401147398,-0.004308232079080273,-0.004048094685092674
2014-12-31,-0.00047866754295641827,-0.004059900287743399,-0.00397853151454129
2014-11-28,0.0019182354229482631,-0.00183785257572706,-0.005512321971913792
2014-10-31,0.002264185540637638,-0.0010276255621325017,-0.005086254638064343
2014-09-30,0.002914115230271105,-0.0001947771749276238,-0.005223680528543622
2014-08-29,0.0052961461897867235,0.0013722867028037975,-0.007592671038906713
2014-07-31,0.004379275877125034,0.0018296368532347063,-0.005439890124453052
2014-06-30,0.005422149051738286,0.0035565263647139096,-0.005283763035730239
2014-05-30,0.004131398638498488,0.0019851983445144977,-0.004550717327748552
2014-04-30,0.004272639090370368,0.002292977536387025,-0.004143111569420675
2014-03-31,0.004265065985094096,0.0013642146354094042,-0.005063589161515441
2014-02-28,0.004396841984296691,0.0016564841481544273,-0.004987787767703008
2014-01-31,0.0029707499830082863,-0.00020645542795635384,-0.004608435788134362
2013-12-31,0.0064513984199809325,0.0022959210912609387,-0.007491208901984892
2013-11-29,0.005709623697618645,0.0015792542490807118,-0.0070761302651946
2013-10-31,0.00644572509832971,0.002392472844068929,-0.007624252753303069
2013-09-30,0.004377405808669032,0.0009222148614368535,-0.005700259751305543
2013-08-30,0.004546418177960089,0.0019208858598383483,-0.004916543407174759
2013-07-31,0.005535564467480104,0.002584377336468406,-0.005852965439073723
2013-06-28,0.004415800890605514,0.0012550634808589846,-0.005595608358521475
2013-05-31,0.006482649319797865,0.002591976960734094,-0.007795825975474829
2013-04-30,0.002039042703741392,-0.001427110522610959,-0.005076933484189534
2013-03-29,0.0011958523989967114,-0.0011714449981875604,-0.0035429837613479742
2013-02-28,0.0010919507715868935,-0.001229176476856387,-0.0032536875670724497
2013-01-31,0.003041980072350429,0.000832900297507562,-0.004253297873501491
2012-12-31,0.00303146687105915,0.0012512543017921826,-0.003989361887063909
2012-11-30,0.0024565479400171274,-1.8576425615892796e-05,-0.004482099886725216
2012-10-31,0.0004590186220657557,-0.001221857416906823,-0.002453239414724968
2012-09-28,0.004872206308029578,0.0029369463841772045,-0.0053825381802247154
2012-08-31,-0.0009047941020215061,-0.002836429486637685,-0.002030152091230736
2012-07-31,-0.00442740728785245,-0.00563683544761991,0.0004926693051406208
2012-06-29,-0.00525588389297364,-0.005617124776506541,0.0018342923597609467
2012-05-31,-0.0064896007397211115,-0.006576400710905773,0.002866822295784988
2012-04-30,-0.004544863713078013,-0.004712845696385767,0.0016580854649642682
